year,source,target,cumulative_volume_af,transmission_kwh/af
2010,GWR1807-4-12 ,1807025E,2034.0,163.1
2010,GWR1807-8-02.01 ,1807161E,7208.0,163.1
2010,R_AmericanMFRK,1802069E,92141.0,87.0
2010,R_SanJoaquin,1804001E,336.0,87.0
2010,RES1804009,1804009E,1209.0,87.0
2010,RES1805007,1805007E,457.86355819999994,87.0
2010,RES1806063,1806063E,75.0,87.0
2010,SW_CVPFKC,1803033E,53121.0,23.22
2010,SW1802041,1802041E,4280.0,87.0
2010,SW1802059,1802059E,114039.0,87.0
2010,SW1803SWP11,1803041E,23664.024390000002,88.165
2010,SW1805049,1805049E,258.0,88.9
2010,SW1805SWP05axf,1805007E,4334.136442,677.84
2010,SW1807095,1807095E,4600.0,87.0
2010,SW1807181,1807181E,318.0,87.0
2010,SW1804000,1804000E,3366.0,87.0
2010,XF1803019,1803019E,8572.0,25.0
2010,XFRSDLRIO,1803083E,4059.0,87.0
2015,1803007PD,1803007E,3145.6100460000002,17.6
2015,1803009PD,1803009E,55032.0,1284.0
2015,1803013PD,1803013E,688.0,2000.0
2015,1803015PD,1803015E,3952.0,17.6
2015,1803017PD,1803017E,24854.0,17.6
2015,1803019NPD,1803019E,2143.0,42.24
2015,1803019PD,1803019E,11704.67405,35.2
2015,1803027PD,1803027E,4842.566927000001,17.6
2015,1803029PD,1803029E,7502.0,35.2
2015,1803033NPD,1803033E,15022.0,84.48
2015,1803033PD,1803033E,113066.0,52.8
2015,1803035PD,1803035E,916.0,17.6
2015,1803037NPD,1803037E,4971.0,21.12
2015,1803037PD,1803037E,11640.0,17.6
2015,1803039NPD,1803039E,220.9599252,21.12
2015,1803039PD,1803039E,2755.861289,17.6
2015,1803055PD,1803055E,7915.0,35.2
2015,1803063NPD,1803063E,3984.6808109999997,17.6
2015,1803067PD,1803067E,4259.616336,17.6
2015,1803069PD,1803069E,421.0,52.8
2015,1803071NPD,1803071E,220.0,21.12
2015,1803071PD,1803071E,1755.0,17.6
2015,1803077NPD,1803077E,12441.271340000001,21.12
2015,1803077PD,1803077E,17877.49928,17.6
2015,1803079PD,1803079E,9844.163623,17.6
2015,1803081NPD,1803081E,1531.375037,42.24
2015,1803081PD,1803081E,3449.399255,17.6
2015,1803083NPD,1803083E,5921.0,42.24
2015,1803083PD,1803083E,16542.0,70.4
2015,1805003NPD,1805003E,3065.0,381.84
2015,1805003PD,1805003E,51800.0,1909.2
2015,1805005NPD,1805005E,385.0,763.68
2015,1805005PD,1805005E,981.6043507999999,954.6
2015,SW1805SWP05c,1805005E,1994.3956489999998,795.665
2015,SW1805SWP05axf,1805007E,441.39198389999996,1355.68
2015,1805007PD,1805007E,3747.6080159999997,954.6
2015,1805009PD,1805009E,3937.3831119999995,318.2
2015,1805011PD,1805011E,10402.0,588.0
2015,1805013PD,1805013E,7255.0,600.0
2015,1805015PD,1805015E,10188.0,602.0
2015,1805017PD,1805017E,12689.0,223.0
2015,1805019PD,1805019E,7063.0,588.0
2015,1805023NPD,1805023E,153.4443925,636.4
2015,1805023PD,1805023E,1890.434916,954.6
2015,1805025PD,1805025E,24900.0,361.0
2015,1805025NPD,1805025E,42600.0,1506.52
2015,1805027NPD,1805027E,853.1508223,381.84
2015,1805027PD,1805027E,6730.377944,636.4
2015,1805029NPD,1805029E,2579.0,381.84
2015,1805029PD,1805029E,7445.0,318.2
2015,1805031NPD,1805031E,10082.98448,1527.36
2015,1805031PD,1805031E,165741.4261,954.6
2015,1805033NPD,1805033E,1.0,381.84
2015,1805033PD,1805033E,1757.0,318.2
2015,1805035PD,1805035E,4462.162934,318.2
2015,1805039PD,1805039E,1634.48,240.0
2015,1805043NPD,1805043E,1746.1971870000002,163.1
2015,1805043PD,1805043E,15230.8904,318.2
2015,1805045PD,1805045E,2816.0,318.2
2015,1805047NPD,1805047E,2332.354766,1527.36
2015,1805047PD,1805047E,4554.229569,636.4
2015,1805049NPD,1805049E,16858.03528,2545.6
2015,1805049PD,1805049E,22897.96472,636.4
2015,1805051PD,1805051E,3525.0,318.2
2015,1805053PD,1805053E,2709.827972,318.2
2015,1805055PD,1805055E,2577.098572,318.2
2015,1805057NPD,1805057E,27.61999065,381.84
